stock,ltp,0,0.236,0.382,0.5,0.618,0.786,1,1.236,1.618,0,0.236,0.382,0.5,0.618,0.786,1,1.236,1.618
PNB,97.25,75.6,80.82,84.04,86.65,89.26,92.97,97.7,102.92,111.36,84.75,87.81,89.7,91.22,92.75,94.93,97.7,100.76,105.7
HDFCBANK,1682.2,1489.0,1543.85,1577.78,1605.2,1632.62,1671.67,1721.4,1776.25,1865.02,1644.05,1662.3,1673.6,1682.72,1691.85,1704.85,1721.4,1739.65,1769.2
SAIL,116.95,87.8,96.76,102.3,106.78,111.25,117.63,125.75,134.71,149.2,102.15,107.72,111.17,113.95,116.73,120.7,125.75,131.32,140.33
TATAMOTORS,790.95,656.55,691.09,712.46,729.72,746.99,771.58,802.9,837.44,893.34,696.25,721.42,736.99,749.58,762.16,780.08,802.9,828.07,868.81
IEX,164.2,132.9,142.2,147.95,152.6,157.25,163.87,172.3,181.6,196.65,140.65,148.12,152.74,156.48,160.21,165.53,172.3,179.77,191.86
