BEL,185.95,137.35,148.64,155.63,161.27,166.92,174.96,~~~*~~~,196.49,214.77,164.05,169.04,172.13,174.62,177.12,180.67,~~~*~~~,190.19,198.27
BERGEPAINT,596.35,562.7,573.15,579.62,584.85,590.08,597.52,~~~*~~~,617.45,634.38,563.65,573.88,580.21,585.33,590.44,597.72,~~~*~~~,617.23,633.79
BHARTIARTL,1046.6,936.2,962.1,978.12,991.08,1004.03,1022.46,1045.95,1071.85,1113.78,960,979.65,991.8,1001.62,1011.45,1025.43,1043.25,1062.9,1094.7
BHEL,195.8,135.3,150.5,159.9,167.5,175.1,185.92,~~~*~~~,214.9,239.5,165.8,173.8,178.75,182.75,186.75,192.45,~~~*~~~,207.7,220.65
BIOCON,291.3,228.25,235.01,239.19,242.58,245.96,250.77,~~~*~~~,263.66,274.61,239.3,243.45,246.02,248.1,250.18,253.13,~~~*~~~,261.05,267.78
BOSCHLTD,22691.65,19500,20160.8,20569.6,20900,21230.4,21700.8,~~~*~~~,22960.8,24030.4,21331,21559.68,21701.16,21815.5,21929.84,22092.63,~~~*~~~,22528.68,22898.84
BPCL,453.1,386.6,409.23,423.23,434.55,445.87,461.98,482.5,505.13,541.77,432.45,441.51,447.12,451.65,456.18,462.63,470.85,479.91,494.58
BRITANNIA,5272.35,4626,4805.37,4916.34,5006.02,5095.71,5223.4,~~~*~~~,5565.42,5855.76,4837.05,4966.61,5046.77,5111.55,5176.33,5268.56,~~~*~~~,5515.61,5725.33
BSOFT,714.35,590.05,626.85,649.62,668.02,686.43,712.63,~~~*~~~,782.8,842.38,692.95,705.47,713.22,719.48,725.73,734.65,~~~*~~~,758.52,778.78
CANBK,461.95,389,404.51,414.1,421.85,429.6,440.64,454.7,470.21,495.3,413.45,422.75,428.5,433.15,437.8,444.42,452.85,462.15,477.2
CANFINHOME,781.4,734.2,759.88,775.76,788.6,801.44,819.72,843,868.68,910.24,742,754.47,762.19,768.42,774.66,783.54,794.85,807.32,827.51
CHAMBLFERT,372.8,303,322.18,334.04,343.62,353.21,366.86,~~~*~~~,403.42,434.46,321.5,336.31,345.47,352.88,360.28,370.82,~~~*~~~,399.06,423.03
CHOLAFIN,1257.85,1085.4,1131.07,1159.32,1182.15,1204.98,1237.49,~~~*~~~,1324.57,1398.48,1210.6,1226.72,1236.69,1244.75,1252.81,1264.28,~~~*~~~,1295.02,1321.11
CIPLA,1286.9,1164.55,1192.63,1210.01,1224.05,1238.09,1258.08,1283.55,1311.63,1357.09,1192.1,1209.92,1220.94,1229.85,1238.76,1251.44,1267.6,1285.42,1314.26
COALINDIA,384.25,328.85,341.51,349.34,355.68,362.01,371.02,~~~*~~~,395.16,415.66,342.3,351.79,357.66,362.4,367.14,373.9,~~~*~~~,391.99,407.34
COFORGE,6076.35,5125.2,5456.73,5661.83,5827.6,5993.37,6229.37,~~~*~~~,6861.53,7398.17,5922.05,6065.53,6154.29,6226.02,6297.76,6399.9,~~~*~~~,6673.48,6905.71
