EICHERMOT,3672.1,3796.68,3873.76,3936.05,3998.34,4087.03,4200.0,4324.58,4526.24
ESCORTS,2924.5,3011.5,3065.32,3108.82,3152.33,3214.26,3293.15,3380.15,3520.98
EXIDEIND,270.8,283.41,291.22,297.52,303.83,312.81,324.25,336.86,357.28
FEDERALBNK,145.1,148.45,150.52,152.2,153.88,156.26,159.3,162.65,168.08
FSL,159.55,167.42,172.29,176.23,180.16,185.76,192.9,200.77,213.51
GAIL,122.9,132.67,138.71,143.6,148.49,155.44,164.3,174.07,189.89
GLENMARK,730.05,760.48,779.31,794.52,809.74,831.4,859.0,889.43,938.69
GMRINFRA,56.4,62.32,65.99,68.95,71.91,76.13,81.5,87.42,97.01
GNFC,679.05,698.86,711.12,721.02,730.93,745.03,763.0,782.81,814.88
GODREJCP,974.3,1013.12,1037.14,1056.55,1075.96,1103.6,1138.8,1177.62,1240.46
GODREJPROP,1823.15,1882.7,1919.55,1949.32,1979.1,2021.5,2075.5,2135.05,2231.45
GRANULES,360.1,371.88,379.16,385.05,390.94,399.32,410.0,421.78,440.84
GRASIM,1906.27,1961.37,1995.46,2023.0,2050.55,2089.78,2139.74,2194.84,2284.02
GUJGASLTD,417.65,428.35,434.97,440.32,445.68,453.3,463.0,473.7,491.03
HAL,2040.55,2231.52,2349.66,2445.15,2540.64,2676.58,2849.75,3040.72,3349.84
HAVELLS,1253.7,1287.05,1307.68,1324.35,1341.02,1364.76,1395.0,1428.35,1482.32
HCLTECH,1268.4,1325.39,1360.65,1389.15,1417.65,1458.22,1509.9,1566.89,1659.15
HDFCAMC,2757.0,2882.89,2960.78,3023.72,3086.67,3176.29,3290.45,3416.34,3620.12
HDFCBANK,1489.0,1543.85,1577.78,1605.2,1632.62,1671.67,1721.4,1776.25,1865.02
HDFCLIFE,627.0,646.73,658.94,668.8,678.66,692.71,710.6,730.33,762.26
HEROMOTOCO,3130.1,3381.04,3536.28,3661.75,3787.22,3965.85,4193.4,4444.34,4850.52
HINDALCO,491.65,521.47,539.92,554.83,569.73,590.96,618.0,647.82,696.08
HINDCOPPER,156.5,185.36,203.22,217.65,232.08,252.63,278.8,307.66,354.38
HINDPETRO,300.3,332.42,352.29,368.35,384.41,407.27,436.4,468.52,520.51
HINDUNILVR,2465.0,2512.7,2542.2,2566.05,2589.9,2623.85,2667.1,2714.8,2792.0
HONAUT,34977.7,35565.08,35928.46,36222.15,36515.84,36933.98,37466.6,38053.98,39004.74
IBULHSGFIN,176.4,190.18,198.71,205.6,212.49,222.3,234.8,248.58,270.89
ICICIBANK,914.75,945.18,964.01,979.22,994.44,1016.1,1043.7,1074.13,1123.39
ICICIGI,1360.2,1391.3,1410.55,1426.1,1441.65,1463.79,1492.0,1523.1,1573.45
ICICIPRULI,505.4,521.24,531.03,538.95,546.87,558.14,572.5,588.34,613.97
IDEA,12.65,13.5,14.03,14.45,14.87,15.48,16.25,17.1,18.47
IDFC,115.1,118.44,120.51,122.18,123.84,126.22,129.25,132.59,137.99
IDFCFIRSTB,82.7,85.0,86.42,87.58,88.73,90.36,92.45,94.75,98.48
IEX,132.9,142.2,147.95,152.6,157.25,163.87,172.3,181.6,196.65
IGL,382.65,391.68,397.26,401.78,406.29,412.71,420.9,429.93,444.54
INDHOTEL,409.0,418.68,424.66,429.5,434.34,441.23,450.0,459.68,475.34
INDIACEM,213.0,227.63,236.68,244.0,251.32,261.73,275.0,289.63,313.32
INDIAMART,2547.15,2633.25,2686.52,2729.58,2772.63,2833.92,2912.0,2998.1,3137.48
INDIGO,2524.2,2638.61,2709.39,2766.6,2823.81,2905.25,3009.0,3123.41,3308.61
INDUSINDBK,1450.05,1489.9,1514.55,1534.48,1554.4,1582.77,1618.9,1658.75,1723.25
INDUSTOWER,176.55,182.79,186.65,189.78,192.9,197.34,203.0,209.24,219.35
INFY,1393.0,1440.2,1469.4,1493.0,1516.6,1550.2,1593.0,1640.2,1716.6
INTELLECT,673.8,713.96,738.8,758.88,778.95,807.54,843.95,884.11,949.1
IOC,99.15,107.36,112.44,116.55,120.66,126.5,133.95,142.16,155.46
IPCALAB,1041.0,1069.52,1087.16,1101.42,1115.69,1135.99,1161.85,1190.37,1236.54
IRCTC,674.0,731.23,766.64,795.25,823.86,864.6,916.5,973.73,1066.36
ITC,434.15,442.11,447.04,451.02,455.01,460.68,467.9,475.86,488.76
JINDALSTEL,642.5,672.09,690.4,705.2,720.0,741.06,767.9,797.49,845.4
JKCEMENT,3430.0,3563.58,3646.21,3713.0,3779.79,3874.88,3996.0,4129.58,4345.79
JSWSTEEL,760.65,792.53,812.26,828.2,844.14,866.84,895.75,927.63,979.24
JUBLFOOD,506.1,525.18,536.98,546.53,556.07,569.65,586.95,606.03,636.92
KOTAKBANK,1733.7,1779.2,1807.35,1830.1,1852.85,1885.24,1926.5,1972.0,2045.65
L&TFH,139.0,145.42,149.39,152.6,155.81,160.38,166.2,172.62,183.01
LALPATHLAB,2446.55,2522.2,2569.0,2606.82,2644.65,2698.5,2767.1,2842.75,2965.2
LAURUSLABS,366.05,383.21,393.82,402.4,410.98,423.19,438.75,455.91,483.68
LICHSGFIN,452.1,473.91,487.4,498.3,509.2,524.73,544.5,566.31,601.6
LT,3031.05,3155.87,3233.09,3295.5,3357.91,3446.77,3559.95,3684.77,3886.81
LTIM,5292.7,5543.64,5698.88,5824.35,5949.82,6128.45,6356.0,6606.94,7013.12
LTTS,4283.05,4538.86,4697.12,4825.02,4952.93,5135.03,5367.0,5622.81,6036.88
LUPIN,1168.75,1210.78,1236.78,1257.8,1278.82,1308.74,1346.85,1388.88,1456.92
M&M,1533.55,1586.52,1619.29,1645.78,1672.26,1709.97,1758.0,1810.97,1896.71
MANAPPURAM,147.15,154.32,158.76,162.35,165.94,171.04,177.55,184.72,196.34
MARICO,516.05,524.97,530.49,534.95,539.41,545.76,553.85,562.77,577.21
MARUTI,9832.6,10092.26,10252.9,10382.72,10512.55,10697.4,10932.85,11192.51,11612.8
MCDOWELL-N,1027.0,1049.42,1063.29,1074.5,1085.71,1101.67,1122.0,1144.42,1180.71
MCX,2725.2,2871.24,2961.58,3034.6,3107.62,3211.58,3344.0,3490.04,3726.42
METROPOLIS,1540.0,1590.7,1622.07,1647.42,1672.78,1708.87,1754.85,1805.55,1887.63
MFSL,910.4,947.48,970.41,988.95,1007.49,1033.88,1067.5,1104.58,1164.59
MGL,1017.55,1068.02,1099.24,1124.47,1149.71,1185.64,1231.4,1281.87,1363.56
MOTHERSON,86.8,90.59,92.93,94.82,96.72,99.42,102.85,106.64,112.77
MPHASIS,2210.05,2346.56,2431.02,2499.28,2567.53,2664.71,2788.5,2925.01,3145.98
