stock,0,0.236,0.382,0.5,0.618,0.786,1,1.236,1.618
AARTIIND,558.1,582.5,597.6,609.8,622.0,639.37,661.5,685.9,725.4
ABB,4529.1,4630.08,4692.56,4743.05,4793.54,4865.43,4957.0,5057.98,5221.44
ABBOTINDIA,22000.0,22248.39,22402.06,22526.25,22650.44,22827.26,23052.5,23300.89,23702.94
ABCAPITAL,155.0,157.99,159.83,161.32,162.82,164.94,167.65,170.64,175.47
ABFRL,215.4,220.64,223.88,226.5,229.12,232.85,237.6,242.84,251.32
ZEEL,248.15,257.21,262.82,267.35,271.88,278.33,286.55,295.61,310.28
GAIL,134.85,141.8,146.1,149.57,153.05,158.0,164.3,171.25,182.5
RECLTD,389.2,402.31,410.42,416.98,423.53,432.86,444.75,457.86,479.08
SAIL,102.15,107.72,111.17,113.95,116.73,120.7,125.75,131.32,140.33
IOC,117.35,121.27,123.69,125.65,127.61,130.4,133.95,137.87,144.21
